MassSpringSystemSemi first-frame debug snapshot
gravity=(0.00, -9.81, 0.00), dt=0.0010, stiffness=500.000
particles=632, springs=1890
P[50] pos=(5.00, 5.75, -3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[51] pos=(5.00, 8.25, -3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[52] pos=(5.00, 8.25, -1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[53] pos=(5.00, 5.75, -1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[54] pos=(5.00, 8.25, 3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[55] pos=(5.00, 5.75, 3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[56] pos=(5.00, 8.25, 1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[57] pos=(5.00, 5.75, 1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[58] pos=(-5.00, 8.25, -3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[59] pos=(-5.00, 5.75, -3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[60] pos=(-5.00, 5.75, -1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[61] pos=(-5.00, 8.25, -1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[62] pos=(-5.00, 8.25, 3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[63] pos=(-5.00, 5.75, 3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[64] pos=(-5.00, 5.75, 1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[65] pos=(-5.00, 8.25, 1.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[66] pos=(1.88, 8.25, -1.88) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[67] pos=(1.88, 5.75, -1.88) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[68] pos=(-1.88, 5.75, -2.08) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[69] pos=(-1.88, 8.25, -2.08) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[70] pos=(2.08, 8.25, 1.88) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[71] pos=(2.08, 5.75, 1.88) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[72] pos=(-1.88, 5.75, 2.68) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[73] pos=(-1.88, 8.25, 2.68) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[74] pos=(-2.86, 8.25, 0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[75] pos=(-2.86, 5.75, 0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[76] pos=(0.63, 8.25, 3.16) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[77] pos=(0.63, 5.75, 3.16) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[78] pos=(3.25, 8.25, -0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[79] pos=(3.25, 5.75, -0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[80] pos=(0.63, 8.25, -3.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[81] pos=(0.63, 5.75, -3.25) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[82] pos=(3.25, 8.25, -3.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[83] pos=(3.25, 5.75, -3.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[84] pos=(-3.33, 5.75, -3.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[85] pos=(-3.33, 8.25, -3.13) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[86] pos=(3.13, 8.25, 3.33) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[87] pos=(3.13, 5.75, 3.33) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[88] pos=(-4.38, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[89] pos=(-4.38, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[90] pos=(-4.06, 5.75, 4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[91] pos=(-4.06, 8.25, 4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[92] pos=(-3.13, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[93] pos=(-3.13, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[94] pos=(-2.81, 5.75, 3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[95] pos=(-2.81, 8.25, 3.75) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[96] pos=(-0.63, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[97] pos=(-0.63, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[98] pos=(-0.94, 8.25, 3.67) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[99] pos=(-0.94, 5.75, 3.67) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[100] pos=(-1.88, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[101] pos=(-1.88, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[102] pos=(4.38, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[103] pos=(4.38, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[104] pos=(4.06, 8.25, 4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[105] pos=(4.06, 5.75, 4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[106] pos=(3.13, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[107] pos=(3.13, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[108] pos=(2.81, 8.25, 4.16) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[109] pos=(2.81, 5.75, 4.16) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[110] pos=(1.87, 5.75, 3.33) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[111] pos=(1.87, 8.25, 3.33) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[112] pos=(0.63, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[113] pos=(0.63, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[114] pos=(0.31, 8.25, 4.08) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[115] pos=(0.31, 5.75, 4.08) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[116] pos=(1.88, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[117] pos=(1.88, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[118] pos=(1.56, 8.25, 4.17) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[119] pos=(1.56, 5.75, 4.17) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[120] pos=(4.38, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[121] pos=(4.38, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[122] pos=(4.06, 5.75, -4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[123] pos=(4.06, 8.25, -4.06) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[124] pos=(3.13, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[125] pos=(3.13, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[126] pos=(2.81, 5.75, -4.04) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[127] pos=(2.81, 8.25, -4.04) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[128] pos=(0.63, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[129] pos=(0.63, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
